ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J092911.78+340520.9,20.95,0.06,18.91,0.05,18.11,0.03,17.12,0.02,16.42,0.02,15.9,0.02,15.52,0.04,15.31,0.09,L0     ,3.45,       ,  ,Simbad,142.29908,34.08914
J092933.46+342951.9,22.03,0.16,19.11,0.05,17.96,0.03,16.75,0.01,15.67,0.01,14.78,0.01,13.87,0.03,13.32,0.03,L7p    ,77.2,L8     ,24,Simbad,142.38942,34.49775
J093025.56+094833.1,21.71,0.2,19.66,0.15,18.64,0.05,17.48,0.03,16.71,0.03,16.18,0.02,15.73,0.05,15.74,0.15,L2     ,5.6,       ,  ,Simbad,142.6065,9.80919
J093049.52+010914.2,21.14,0.11,19.08,0.09,18.3,0.04,17.1,0.02,16.42,0.02,15.8,0.02,15.56,0.05,15.51,0.11,L1     ,7.11,       ,  ,Simbad,142.70633,1.15394
J093135.93+020032.6,21.57,0.18,19.04,0.09,18.26,0.03,17.23,0.02,16.62,0.03,16.24,0.03,15.82,0.05,15.65,0.12,L0     ,13.96,       ,  ,Simbad,142.89971,2.00906
J093215.46+345624.6,20.26,0.04,18.31,0.03,17.38,0.02,16.34,0.01,15.68,0.01,15.1,0.01,14.81,0.03,14.59,0.06,L0.5   ,1.47,L0     ,7,Simbad,143.06442,34.94017
J093228.11+023015.7,20.98,0.15,18.94,0.07,17.9,0.03,16.69,0.02,15.96,0.02,15.29,0.01,14.95,0.04,14.77,0.07,L2     ,7.41,       ,  ,Simbad,143.11712,2.50436
J093307.09-012713.4,20.87,0.1,19.04,0.1,18.03,0.03,16.74,0.01,15.95,0.02,15.23,0.02,14.78,0.03,14.44,0.05,L3.5   ,5.41,       ,  ,Simbad,143.27954,-1.45372
J093311.18-021214.5,19.36,0.03,17.28,0.03,16.39,0.01,15.27,0.01,14.62,0.01,14.03,0.01,13.74,0.03,13.44,0.03,L1     ,1.78,L0.5:  ,6,Simbad,143.29658,-2.20403
J093320.79+323025.3,20.76,0.08,18.62,0.04,17.72,0.02,16.4,0.01,15.52,0.01,14.71,0.01,14.13,0.03,13.76,0.04,L4.5   ,6.58,       ,  ,Simbad,143.33662,32.50703
