ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J145147.91+100505.7,21.04,0.08,18.85,0.06,18.14,0.02,17.04,0.01,16.41,0.02,15.89,0.02,15.59,0.04,15.49,0.09,L0     ,5.81,       ,  ,Simbad,222.94962,10.08492
J145201.33+093135.9,19.3,0.03,17.24,0.02,16.35,0.01,15.34,0.01,14.81,0.01,14.28,0.01,14,0.03,13.62,0.03,L0     ,8.88,L0     ,6,Simbad,223.00554,9.52664
J145201.96+111456.9,19.78,0.03,17.63,0.03,16.77,0.01,15.57,0.01,14.87,0.01,14.28,0.01,13.92,0.03,13.62,0.03,L2     ,4,L2:    ,6,Simbad,223.00817,11.24914
J145450.22+100227.0,20.58,0.05,18.57,0.04,17.63,0.02,16.44,0.01,15.83,0.01,15.34,0.01,14.92,0.03,14.65,0.05,L1     ,6.01,       ,  ,Simbad,223.70925,10.04083
J145532.16+062313.2,21.16,0.11,19.34,0.1,18.32,0.03,17.18,0.02,16.44,0.02,15.82,0.01,15.56,0.04,15.28,0.09,L1.5   ,3.92,       ,  ,Simbad,223.884,6.387
J145617.11+112238.9,21.44,0.11,19.41,0.09,18.45,0.03,17.12,0.01,16.29,0.02,15.58,0.02,15.09,0.03,14.74,0.06,L4     ,3.02,       ,  ,Simbad,224.07129,11.37747
J145655.45-020559.0,21.38,0.13,19.33,0.1,18.55,0.05,17.25,0.03,16.49,0.03,15.84,0.02,15.4,0.04,15.2,0.1,L2.5   ,2.5,       ,  ,Simbad,224.23104,-2.09972
J145658.17+070104.6,20.22,0.05,18.18,0.04,17.21,0.01,15.96,0.01,15.22,0.01,14.61,0.01,14.17,0.03,13.9,0.04,L2.5   ,2.42,L3     ,7,Simbad,224.24237,7.01794
J145711.93+125601.7,21.35,0.11,19.41,0.09,18.42,0.03,17.16,0.02,16.43,0.02,15.71,0.02,15.21,0.03,14.83,0.06,L3.5   ,4.84,       ,  ,Simbad,224.29971,12.93381
J145742.92+103340.7,21.42,0.1,19.69,0.09,18.57,0.03,17.39,0.02,16.59,0.02,16.05,0.02,15.72,0.04,15.67,0.11,L1.5   ,14.1,       ,  ,Simbad,224.42883,10.56131
J145839.89+102931.0,21.53,0.11,19.33,0.07,18.39,0.03,17.25,0.02,16.68,0.02,16.11,0.02,15.65,0.04,15.43,0.09,L1     ,7.32,       ,  ,Simbad,224.66621,10.49194
J145949.60+330124.8,20.9,0.09,18.58,0.06,17.81,0.02,16.7,0.01,16.09,0.02,15.54,0.02,     ,     ,     ,     ,L0.5:  ,6.63,L1     ,12,Simbad,224.95667,33.02356
J150010.74+130212.2,20.64,0.06,18.5,0.05,17.71,0.02,16.75,0.01,16.15,0.01,15.64,0.02,14.9,0.03,14.6,0.05,L1p    ,56.5,       ,  ,Simbad,225.04475,13.03672
J150043.24+000923.0,20.84,0.57,18.87,0.1,17.95,0.02,16.9,0.01,16.3,0.02,15.73,0.02,     ,     ,     ,     ,L0:    ,0.55,       ,  ,Simbad,225.18017,0.15639
J150059.88+041319.3,20.46,0.05,18.43,0.05,17.61,0.02,16.58,0.01,15.97,0.02,15.41,0.02,15.17,0.04,14.9,0.07,L0     ,1.96,L0:    ,6,Simbad,225.2495,4.22203
J150103.61+055632.4,21.25,0.13,19.3,0.12,18.5,0.04,17.09,0.02,16.11,0.02,15.37,0.02,14.66,0.03,14.29,0.04,L5.5p  ,20.24,       ,  ,Simbad,225.26504,5.94233
J150207.05-022021.3,20.99,0.1,18.86,0.07,18.04,0.02,17,0.02,16.4,0.02,15.9,0.03,15.43,0.04,15.05,0.08,L0.5   ,9.56,       ,  ,Simbad,225.52937,-2.33925
J150216.49+080334.1,20.07,0.04,18.16,0.03,17.18,0.02,16.12,0.01,15.43,0.01,14.94,0.01,14.67,0.03,14.46,0.05,L0.5   ,6.85,L0:    ,6,Simbad,225.56871,8.05947
J150221.19+021123.7,20.99,0.09,19.05,0.09,18.3,0.03,17.21,0.02,16.49,0.02,15.93,0.03,15.62,0.05,15.36,0.1,L0.5   ,4.08,       ,  ,Simbad,225.58829,2.18992
J150226.05+080421.6,19.99,0.04,17.95,0.03,17.01,0.01,15.82,0.01,15.1,0.01,14.49,0.01,14.18,0.03,13.91,0.03,L2     ,4.7,L0.5:  ,6,Simbad,225.60854,8.07267
J150309.53+115323.5,20.28,0.04,18.21,0.04,17.32,0.01,16.14,0.01,15.42,0.01,14.8,0.01,14.51,0.03,14.25,0.04,L1.5   ,3.37,L2     ,7,Simbad,225.78971,11.88986
J150403.40-000920.5,21.02,0.08,     ,     ,17.97,0.02,17.03,0.02,16.38,0.02,15.82,0.03,15.5,0.04,15.54,0.13,L0     ,8.02,       ,  ,Simbad,226.01417,-0.15569
J150411.72+102716.9,23.6,0.52,19.7,0.1,17.63,0.02,16.51,0.01,16.99,0.05,17.12,0.08,16.22,0.06,14.06,0.04,T7     ,8.9,T7     ,4,Simbad,226.04883,10.45469
J150457.65+053800.8,23.37,0.38,19.84,0.13,17.64,0.02,16.59,0.02,17.05,0.04,17.41,0.09,16,0.05,14.23,0.04,T7p    ,58.7,T6.5   ,15,Simbad,226.24021,5.63356
J150507.76+110139.0,19.46,0.02,17.43,0.03,16.54,0.01,15.57,0.01,14.95,0.01,14.4,0.01,14.16,0.03,13.96,0.04,L0     ,7.74,M9     ,3,Simbad,226.28233,11.0275
J150531.70+010232.7,22.36,0.24,19.57,0.1,18.64,0.04,17.44,0.02,16.87,0.03,16.43,0.05,15.71,0.05,15.64,0.12,L1.5p  ,27.51,       ,  ,Simbad,226.38208,1.04242
J150646.72+303848.4,21.4,0.1,19.55,0.08,18.75,0.05,17.39,0.03,16.62,0.03,15.93,0.03,15.65,0.04,15.26,0.07,L2.5   ,10.73,       ,  ,Simbad,226.69467,30.64678
J150927.83+034449.7,     ,     ,     ,     ,18.81,0.05,17.25,0.03,16.18,0.02,15.26,0.02,14.6,0.03,14.21,0.05,L7p:   ,34.52,       ,  ,Simbad,227.36596,3.74714
J151114.51+060741.1,21.31,0.1,18.67,0.05,17.22,0.02,15.88,0.01,15.18,0.01,14.44,0.01,13.67,0.03,13.22,0.03,L9p    ,32.97,T0     ,23,Simbad,227.81046,6.12808
J151134.48+103828.8,21.11,0.09,18.92,0.05,18.12,0.03,17,0.01,16.28,0.02,15.77,0.02,15.47,0.04,15.25,0.09,L0.5   ,4.76,       ,  ,Simbad,227.89367,10.64133
J151145.75-021726.6,21.87,0.23,19.45,0.12,18.58,0.04,17.42,0.04,16.78,0.04,16.24,0.04,15.97,0.05,15.65,0.16,L1     ,4.92,       ,  ,Simbad,227.94062,-2.29072
J151317.86+044236.3,21.15,0.12,19.04,0.07,18.34,0.04,17.36,0.03,16.7,0.02,16.17,0.03,15.88,0.05,15.42,0.11,L0     ,7.25,       ,  ,Simbad,228.32442,4.71008
J151325.75+115912.3,20.99,0.11,19.12,0.07,18.31,0.03,17.19,0.01,16.59,0.02,16.11,0.02,15.53,0.04,15.2,0.08,L0.5   ,18,       ,  ,Simbad,228.35729,11.98675
J151355.05-013300.6,21.11,0.09,18.78,0.07,17.9,0.03,16.76,0.02,16.07,0.02,15.47,0.02,15.16,0.04,14.98,0.09,L1.5   ,8.94,       ,  ,Simbad,228.47937,-1.55017
J151459.98+080540.8,20.55,0.05,18.52,0.04,17.59,0.02,16.5,0.01,15.86,0.01,15.32,0.01,15.05,0.04,14.96,0.07,L0.5   ,8.35,L0.5:  ,6,Simbad,228.74992,8.09467
J151603.00+025927.7,22.63,0.38,19.18,0.08,17.96,0.03,16.88,0.02,16.08,0.02,15.44,0.02,14.65,0.03,14.09,0.05,T0     ,5.67,T0     ,1,Simbad,229.0125,2.99103
J151635.44-014852.7,21.39,0.12,19.41,0.11,18.39,0.05,17.47,0.03,16.81,0.03,16.31,0.04,16.06,0.06,16.66,0.38,L0     ,9.84,       ,  ,Simbad,229.14767,-1.81464
J151642.98+305344.5,22.9,0.36,19.45,0.11,17.96,0.02,16.77,0.02,16,0.02,15.16,0.01,14.14,0.03,13.4,0.03,L8.5p  ,91.33,T0.5   ,15,Simbad,229.17908,30.89569
J151649.84+083607.1,22.33,0.21,19.84,0.1,18.74,0.04,17.35,0.02,16.71,0.03,16.26,0.03,15.67,0.05,15.43,0.1,L2.5p  ,29.25,       ,  ,Simbad,229.20767,8.60197
J151738.33-010313.5,21.2,0.09,19.1,0.06,18.21,0.04,17.18,0.02,16.47,0.02,15.96,0.02,15.75,0.04,15.53,0.11,L0     ,4.79,       ,  ,Simbad,229.40971,-1.05375
J151821.34+085517.5,22.19,0.22,19.66,0.09,18.62,0.03,17.42,0.01,16.53,0.02,15.78,0.02,     ,     ,     ,     ,L4.5:  ,3.45,       ,  ,Simbad,229.58892,8.92153
J151920.45-002646.9,21.53,0.14,19.36,0.09,18.54,0.05,17.48,0.03,16.87,0.03,16.34,0.03,15.98,0.05,15.92,0.16,L0     ,2.57,       ,  ,Simbad,229.83521,-0.44636
J152055.53+110352.6,21.58,0.1,19.28,0.08,18.45,0.04,17.29,0.02,16.59,0.03,15.96,0.02,15.61,0.04,15.53,0.11,L1.5   ,6.43,       ,  ,Simbad,230.23137,11.06461
J152102.83-000835.1,20.78,0.1,18.75,0.06,17.9,0.03,16.74,0.02,16,0.01,15.39,0.01,15.15,0.03,15.04,0.08,L1     ,8.75,       ,  ,Simbad,230.26179,-0.14308
J152103.14+013143.2,24.38,0.52,19.07,0.06,17.34,0.02,16.1,0.01,15.68,0.01,15.57,0.02,14.91,0.03,13.94,0.04,T2.5p  ,30.14,T2     ,1,Simbad,230.26308,1.52867
J152232.58+090713.7,21.07,0.07,19.03,0.06,18.08,0.02,17.02,0.01,16.42,0.02,15.76,0.02,15.46,0.04,15.13,0.08,L1     ,3.08,       ,  ,Simbad,230.63575,9.12047
J152258.77+025029.1,21.45,0.17,19.13,0.09,18.06,0.03,17.01,0.02,16.19,0.03,15.62,0.02,15.11,0.03,14.93,0.07,L2.5   ,10.07,       ,  ,Simbad,230.74487,2.84142
J152314.47+105259.0,20.17,0.04,18.04,0.03,17.08,0.01,15.94,0.01,15.2,0.01,14.62,0.01,14.18,0.03,13.94,0.04,L2     ,3.94,L0     ,7,Simbad,230.81029,10.88306
J152428.03+024209.4,20.9,0.09,18.83,0.06,17.88,0.03,16.81,0.02,16.12,0.03,15.61,0.02,15.21,0.04,15.15,0.08,L1     ,6.04,       ,  ,Simbad,231.11679,2.70261
J152502.10+083344.0,22.48,0.21,19.83,0.1,18.25,0.03,17.17,0.02,16.62,0.02,16.22,0.03,15.26,0.04,14.54,0.06,T1p    ,29.4,       ,  ,Simbad,231.25875,8.56222
J152546.98+070440.6,20.68,0.06,18.64,0.05,17.79,0.02,16.83,0.01,16.17,0.01,15.66,0.02,15.34,0.04,15.26,0.09,L0     ,6.29,L0:    ,6,Simbad,231.44575,7.07794
J152553.40+055957.7,21.55,0.12,19.29,0.08,18.4,0.03,17.27,0.02,16.69,0.02,16.25,0.02,15.87,0.05,15.59,0.1,L0     ,9.33,       ,  ,Simbad,231.4725,5.99936
J152553.93-001940.4,21.16,0.08,19.11,0.06,18.24,0.05,17.06,0.03,16.25,0.02,15.64,0.03,15.24,0.04,14.97,0.08,L2.5   ,2.12,       ,  ,Simbad,231.47471,-0.32789
J152635.65+093821.9,21.18,0.11,19.41,0.1,18.24,0.02,17.11,0.01,16.32,0.02,15.72,0.02,15.36,0.04,15.2,0.08,L2     ,7.83,       ,  ,Simbad,231.64854,9.63942
J152647.50+015749.0,20.62,0.06,18.58,0.06,17.61,0.03,16.42,0.02,15.63,0.01,15,0.01,14.72,0.03,14.43,0.05,L2     ,6.2,       ,  ,Simbad,231.69792,1.96361
J152719.98+300155.4,20.02,0.05,17.96,0.04,17.11,0.02,16.15,0.01,15.5,0.01,14.99,0.01,14.66,0.03,14.37,0.04,L0     ,3.08,M9.5:  ,6,Simbad,231.83325,30.03206
J152745.44+023658.7,21.15,0.1,19.11,0.08,18.19,0.04,17.1,0.03,16.45,0.02,15.92,0.02,15.52,0.04,15.45,0.11,L0.5   ,3.31,       ,  ,Simbad,231.93933,2.61631
J152828.39-014448.5,21.6,0.14,19.45,0.11,18.45,0.05,17.21,0.03,16.38,0.03,15.72,0.02,15.24,0.04,15.03,0.09,L3.5   ,2.55,       ,  ,Simbad,232.11829,-1.74681
J152851.08+110620.5,21.41,0.1,19.68,0.09,18.6,0.05,17.42,0.02,16.73,0.03,16.09,0.03,15.51,0.04,15.29,0.08,L2.5   ,9.05,       ,  ,Simbad,232.21283,11.10569
J152914.63+065815.3,21.56,0.11,19.65,0.11,18.73,0.06,17.32,0.02,16.4,0.02,15.56,0.02,14.92,0.03,14.49,0.05,L5     ,18.87,       ,  ,Simbad,232.31096,6.97092
J152955.49+052329.2,21.25,0.08,19.29,0.08,18.39,0.03,17.17,0.02,16.38,0.01,15.74,0.01,15.44,0.04,15.04,0.07,L2     ,4.4,       ,  ,Simbad,232.48121,5.39144
J153012.82+083452.3,21.04,0.08,18.95,0.06,17.88,0.03,16.73,0.01,16.02,0.01,15.34,0.01,14.94,0.03,14.71,0.06,L2.5   ,5.9,       ,  ,Simbad,232.55342,8.58119
J153014.81+001814.8,21.47,0.13,19.23,0.09,18.46,0.03,17.43,0.02,16.72,0.02,16.12,0.02,15.78,0.05,15.42,0.12,L1     ,4.15,       ,  ,Simbad,232.56171,0.30411
J153108.88+060111.1,19.85,0.03,17.74,0.03,16.89,0.01,15.79,0.01,15.09,0.01,14.54,0.01,14.15,0.03,13.93,0.04,L1     ,2.2,L1     ,7,Simbad,232.787,6.01975
J153128.47+073755.0,21.18,0.1,18.92,0.07,17.85,0.02,16.61,0.01,16.02,0.01,15.45,0.01,15.03,0.03,14.65,0.06,L2p    ,20.43,       ,  ,Simbad,232.86862,7.63194
J153156.73+033605.9,21.96,0.22,19.42,0.12,18.47,0.05,17.28,0.04,16.4,0.02,15.75,0.02,15.18,0.04,14.9,0.08,L3.5   ,4.18,       ,  ,Simbad,232.98637,3.60164
J153258.03+304611.3,21.31,0.09,19.49,0.08,18.49,0.04,17.3,0.02,16.59,0.03,16.01,0.03,15.69,0.04,15.46,0.08,L1.5   ,4.14,       ,  ,Simbad,233.24179,30.76981
J153410.67+042639.5,21.21,0.09,19.24,0.07,18.25,0.04,17.1,0.02,16.45,0.03,15.82,0.02,15.58,0.04,15.36,0.11,L1     ,4.49,       ,  ,Simbad,233.54446,4.44431
J153659.37+064650.3,19.85,0.04,17.82,0.03,16.87,0.01,15.69,0.01,14.97,0.01,14.34,0.01,13.98,0.03,13.75,0.04,L2     ,1.92,L2:    ,6,Simbad,234.24737,6.78064
J153730.05+054628.0,21.44,0.12,19.43,0.09,18.61,0.04,17.24,0.02,16.29,0.02,15.54,0.01,14.81,0.03,14.53,0.06,L5     ,14.55,       ,  ,Simbad,234.37521,5.77444
J153901.99+020254.2,20.34,0.05,18.27,0.03,17.36,0.02,16.35,0.01,15.71,0.01,15.14,0.01,14.91,0.03,14.78,0.07,L0     ,6.02,       ,  ,Simbad,234.75829,2.04839
J154005.10+010208.7,19.01,0.02,17.08,0.02,16.13,0.01,15.13,0.01,14.56,0.01,14.04,0.01,     ,     ,     ,     ,L0:    ,5.02,       ,  ,Simbad,235.02125,1.03575
J154038.87-001256.7,21.29,0.1,18.81,0.06,17.84,0.02,16.63,0.02,15.81,0.01,15.17,0.01,14.47,0.03,14.16,0.05,L4     ,11.88,       ,  ,Simbad,235.16196,-0.21575
J154102.57+284436.9,18.62,0.03,16.75,0.02,15.76,0.01,14.83,0.01,14.17,0.01,13.63,0.01,13.34,0.03,13.12,0.03,L0     ,6.85,M9.5:  ,6,Simbad,235.26071,28.74358
J154106.54+285848.3,21.44,0.09,19.25,0.07,18.25,0.03,16.95,0.02,16.26,0.02,15.65,0.02,14.89,0.03,14.54,0.05,L4     ,16.75,       ,  ,Simbad,235.27725,28.98008
J154236.02-004546.5,21.55,0.14,18.94,0.06,18.07,0.02,16.82,0.02,16.2,0.02,15.64,0.02,15.09,0.04,14.97,0.07,L2     ,20,       ,  ,Simbad,235.65008,-0.76292
J154237.56-001318.7,21.79,0.16,19.64,0.1,18.76,0.05,17.48,0.03,16.76,0.02,16.24,0.03,15.64,0.05,15.25,0.09,L2.5   ,8.03,       ,  ,Simbad,235.6565,-0.22186
J154258.71+101140.0,20.62,0.05,18.65,0.04,17.73,0.02,16.78,0.01,16.15,0.01,15.62,0.01,15.36,0.04,15.13,0.08,L0     ,5.23,L0:    ,6,Simbad,235.74462,10.19444
J154353.01-010138.5,21.42,0.11,19.26,0.07,18.57,0.04,17.47,0.03,16.79,0.03,16.29,0.04,16.05,0.06,16.01,0.17,L0     ,5.76,       ,  ,Simbad,235.97087,-1.02736
J154425.45+075057.2,20.92,0.08,18.96,0.06,17.94,0.03,16.64,0.01,15.75,0.01,15.02,0.01,14.56,0.03,14.3,0.05,L4     ,7.81,       ,  ,Simbad,236.10604,7.84922
J154432.73+265551.7,20.93,0.07,18.58,0.04,17.65,0.02,16.24,0.01,15.32,0.01,14.54,0.01,13.92,0.03,13.6,0.03,L5.5   ,3.2,L3     ,12,Simbad,236.13637,26.93103
J154438.66-000010.3,20.07,0.04,18.05,0.04,17.14,0.02,16.01,0.01,15.32,0.01,14.69,0.01,14.29,0.03,14.06,0.04,L1.5   ,1.02,       ,  ,Simbad,236.16108,-0.00286
J154441.58+030100.6,21.34,0.11,19.11,0.08,18.34,0.03,17.29,0.03,16.69,0.03,16.2,0.04,15.85,0.05,15.41,0.11,L0     ,5.21,       ,  ,Simbad,236.17325,3.01683
J154443.76+033057.3,21.45,0.15,19.37,0.14,18.23,0.03,17.19,0.03,16.45,0.02,15.81,0.03,15.44,0.04,15.09,0.08,L2     ,5.81,       ,  ,Simbad,236.18233,3.51592
J154502.85+061807.6,20.48,0.05,18.3,0.04,17.35,0.02,16.21,0.01,15.62,0.01,15.07,0.01,14.7,0.03,14.4,0.05,L1     ,10.2,L1     ,7,Simbad,236.26187,6.30211
J154531.34+264536.1,20.9,0.07,18.69,0.06,17.76,0.02,16.47,0.01,15.73,0.01,15,0.01,14.49,0.03,14.17,0.04,L3.5   ,1.85,       ,  ,Simbad,236.38058,26.76003
J154715.93-005639.4,21.63,0.13,19.67,0.1,18.73,0.04,17.41,0.03,16.65,0.03,15.94,0.03,15.47,0.04,15.22,0.09,L3     ,2.77,       ,  ,Simbad,236.81637,-0.94428
J154727.20+033636.3,20.03,0.04,18.17,0.04,17.18,0.01,15.94,0.01,15.07,0.01,14.37,0.01,13.99,0.03,13.65,0.04,L3     ,11.67,L2     ,5,Simbad,236.86333,3.61008
J154740.15+053208.5,20.19,0.04,18.02,0.03,17.23,0.01,16.18,0.01,15.56,0.01,15.01,0.01,14.69,0.03,14.48,0.05,L0     ,4.15,       ,  ,Simbad,236.91729,5.53569
J155120.24-014233.3,21.1,0.13,18.84,0.06,18.05,0.02,16.85,0.02,16.12,0.02,15.51,0.02,15.16,0.04,14.79,0.07,L2     ,3.35,       ,  ,Simbad,237.83433,-1.70925
J155134.18-010258.9,20.85,0.07,19.08,0.05,18.14,0.03,17.21,0.03,16.36,0.03,15.86,0.03,15.53,0.04,15.46,0.11,L0.5   ,14.89,       ,  ,Simbad,237.89242,-1.04969
J155138.60+102853.3,20.47,0.04,18.5,0.04,17.63,0.02,16.67,0.01,16.05,0.01,15.5,0.01,15.23,0.04,14.9,0.07,L0     ,4.69,L0:    ,6,Simbad,237.91083,10.48147
J155231.68-005210.1,21.58,0.13,19.36,0.07,18.25,0.03,16.9,0.02,16.07,0.02,15.41,0.02,14.84,0.03,14.57,0.06,L4     ,8.87,       ,  ,Simbad,238.132,-0.86947
J155304.91+064242.7,20.95,0.09,18.76,0.05,17.85,0.02,16.86,0.02,16.23,0.01,15.68,0.02,     ,     ,     ,     ,L0:    ,4,       ,  ,Simbad,238.27046,6.71186
J155318.25+054641.4,21.41,0.1,19.41,0.09,18.3,0.03,17.06,0.02,16.29,0.01,15.6,0.02,15.21,0.04,14.97,0.07,L3     ,5.85,       ,  ,Simbad,238.32604,5.77817
J155338.97+091258.1,21.5,0.11,19.7,0.13,18.63,0.04,17.43,0.02,16.75,0.02,16.16,0.03,15.76,0.05,15.44,0.11,L2     ,3.07,       ,  ,Simbad,238.41237,9.21614
J155346.48+261246.7,21.42,0.12,19.68,0.09,18.69,0.05,17.49,0.02,16.68,0.02,16.08,0.03,15.66,0.04,15.51,0.09,L2     ,6.64,       ,  ,Simbad,238.44367,26.21297
J155436.04+272447.4,20.7,0.06,18.39,0.04,17.47,0.02,16.15,0.01,15.27,0.01,14.61,0.01,13.96,0.03,13.65,0.03,L4.5   ,1.46,       ,  ,Simbad,238.65017,27.41317
J155556.44+072945.4,20.64,0.05,18.66,0.05,17.8,0.02,16.81,0.02,16.18,0.02,15.66,0.02,15.42,0.04,15.13,0.08,L0     ,4.16,       ,  ,Simbad,238.98517,7.49594
J155902.28+260619.3,21.33,0.1,19.31,0.09,18.28,0.04,17.06,0.02,16.43,0.02,15.91,0.03,15.41,0.04,15.15,0.07,L1.5   ,8.07,       ,  ,Simbad,239.7595,26.10536
J160137.18+250914.3,21.52,0.09,19.59,0.08,18.64,0.04,17.27,0.02,16.53,0.02,15.91,0.02,15.37,0.04,14.99,0.07,L3     ,7.46,       ,  ,Simbad,240.40492,25.15397
J160156.20+293716.2,20.29,0.04,18.17,0.04,17.33,0.02,16.37,0.01,15.78,0.01,15.31,0.01,14.76,0.03,14.58,0.05,L0     ,16.68,       ,  ,Simbad,240.48417,29.62117
J160311.96+294503.9,21.42,0.08,19.36,0.08,18.61,0.06,17.45,0.02,16.77,0.03,16.1,0.03,15.61,0.04,15.27,0.08,L2     ,9.04,       ,  ,Simbad,240.79983,29.75108
J160414.59+280535.1,20.79,0.06,18.88,0.05,17.91,0.03,16.92,0.01,16.22,0.02,15.62,0.02,15.39,0.04,15.67,0.11,L0p    ,25.93,       ,  ,Simbad,241.06079,28.09308
J160628.98+284753.5,20.27,0.04,18.47,0.04,17.59,0.02,16.52,0.01,15.88,0.01,15.34,0.01,14.95,0.03,14.89,0.06,L0     ,12.21,M7     ,6,Simbad,241.62075,28.79819
J161230.55+280010.8,20.49,0.05,18.41,0.04,17.5,0.02,16.54,0.01,15.91,0.02,15.36,0.02,15.14,0.03,14.83,0.06,L0     ,3.84,L2     ,6,Simbad,243.12729,28.003
J161250.05+304622.4,21.33,0.12,19.42,0.07,18.41,0.03,17.47,0.02,16.83,0.04,16.23,0.04,     ,     ,     ,     ,L0:    ,3.13,       ,  ,Simbad,243.20854,30.77289
J161626.44+221859.4,22.71,0.27,19.8,0.1,18.73,0.04,17.47,0.02,16.41,0.02,15.64,0.02,14.8,0.03,14.27,0.04,L7.5   ,15.98,L5     ,15,Simbad,244.11017,22.3165
J161812.17+221007.1,21.67,0.11,19.52,0.08,18.44,0.04,17.47,0.02,16.72,0.03,16.06,0.02,15.84,0.04,15.71,0.11,L1     ,13.36,       ,  ,Simbad,244.55071,22.16864
J161832.52+300158.2,21.2,0.1,19.15,0.07,18.25,0.04,17.02,0.01,16.27,0.02,15.68,0.02,15.32,0.03,15.08,0.07,L2     ,2.23,       ,  ,Simbad,244.6355,30.03283
J161932.48+260533.4,21.37,0.11,19.32,0.06,18.29,0.04,17.17,0.02,16.42,0.02,15.91,0.03,15.2,0.03,14.87,0.06,L3     ,16.72,       ,  ,Simbad,244.88533,26.09261
J162119.60+264021.3,20.93,0.06,19.18,0.06,18.26,0.04,17.24,0.02,16.58,0.02,15.95,0.02,15.54,0.04,15.2,0.07,L0.5   ,16.93,       ,  ,Simbad,245.33167,26.67258
J162125.83+232921.6,20.78,0.07,18.8,0.05,17.84,0.02,16.77,0.01,16.1,0.02,15.5,0.02,15.19,0.03,14.93,0.06,L1     ,0.89,       ,  ,Simbad,245.35762,23.48933
J162307.24+290828.1,20.32,0.04,18.23,0.03,17.27,0.02,16.13,0.01,15.51,0.01,14.96,0.01,14.58,0.03,14.32,0.04,L1     ,5.93,L1     ,7,Simbad,245.78017,29.14114
J162338.99+253511.3,21.86,0.14,19.73,0.11,18.56,0.04,17.13,0.02,16,0.01,15.16,0.01,14.54,0.16,14.21,0.04,L6.5p  ,30.94,L3     ,12,Simbad,245.91246,25.58647
J162523.92+275303.2,21.35,0.1,19.55,0.14,18.41,0.03,17.24,0.02,16.52,0.02,15.98,0.03,15.6,0.04,15.3,0.07,L1.5   ,3.62,       ,  ,Simbad,246.34967,27.88422
J162736.50+274200.1,20.52,0.04,18.52,0.04,17.57,0.02,16.51,0.01,15.9,0.02,15.31,0.02,14.93,0.13,14.59,0.04,L1     ,4.09,L1:    ,6,Simbad,246.90208,27.70003
J162855.58+245602.4,20.63,0.05,18.59,0.04,17.71,0.02,16.66,0.01,16.01,0.01,15.47,0.02,15.11,0.28,14.87,0.06,L0.5   ,0.72,L0.5:  ,6,Simbad,247.23158,24.934
J163129.74+261119.7,20.89,0.06,18.84,0.05,17.94,0.03,16.77,0.01,16.16,0.02,15.61,0.02,15.21,0.03,15.05,0.06,L1     ,3.42,       ,  ,Simbad,247.87392,26.18881
J163222.02+284802.3,21.22,0.12,19.49,0.15,18.31,0.04,17.23,0.02,16.56,0.03,15.99,0.03,15.83,0.04,15.66,0.09,L0     ,10.87,       ,  ,Simbad,248.09175,28.80064
J163223.60+283955.9,20.94,0.1,18.75,0.08,17.96,0.03,16.86,0.02,16.14,0.02,15.61,0.02,15.16,0.03,14.89,0.05,L1.5   ,4.23,       ,  ,Simbad,248.09833,28.66553
J163347.27+293633.9,21.66,0.14,19.25,0.07,18.33,0.03,17.14,0.02,16.51,0.02,15.97,0.03,15.95,0.31,15.95,0.11,L0.5p  ,35.91,       ,  ,Simbad,248.44696,29.60942
J163352.77+305222.8,20.8,0.09,18.74,0.06,17.79,0.02,16.62,0.01,15.88,0.02,15.26,0.02,14.89,0.14,14.71,0.04,L2     ,3.49,L2:    ,6,Simbad,248.46987,30.873
J163504.23+274011.1,20.82,0.08,19,0.08,18.1,0.03,17.07,0.02,16.37,0.02,15.88,0.03,15.59,0.23,15.32,0.08,L0     ,3.04,       ,  ,Simbad,248.76762,27.66975
J163713.49+303808.6,22.04,2.98,19.95,0.37,18.6,0.04,17.36,0.03,16.66,0.03,16.15,0.03,15.51,0.13,15.31,0.07,L2     ,6.28,L3     ,12,Simbad,249.30621,30.63572
J163836.80+281002.7,21.18,0.15,19.18,0.11,18.16,0.03,17.08,0.02,16.42,0.02,15.85,0.02,     ,     ,     ,     ,L1:    ,1.59,L0     ,12,Simbad,249.65333,28.16742
J163911.54+304311.0,20.66,0.06,18.62,0.05,17.7,0.02,16.65,0.01,16.03,0.02,15.52,0.02,15.19,0.03,14.91,0.06,L0     ,2.17,       ,  ,Simbad,249.79808,30.71972
J163931.50+323212.8,23.57,0.46,19.79,0.11,18.14,0.02,16.71,0.01,16.72,0.03,16.8,0.06,16.55,0.43,15.15,0.07,T4p    ,30.27,T3     ,20,Simbad,249.88125,32.53689
J164045.29+322232.5,20.76,0.06,18.69,0.04,17.87,0.02,16.52,0.01,15.71,0.01,14.98,0.01,14.49,0.12,14.24,0.04,L3.5   ,5.42,L2:    ,6,Simbad,250.18871,32.37569
J164123.93+282133.3,20.69,0.05,18.75,0.05,17.78,0.03,16.82,0.02,16.2,0.02,15.65,0.02,15.48,0.04,15.15,0.07,L0     ,6.82,L0.5:  ,6,Simbad,250.34971,28.35925
